REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,HY_1,HY_2,HY_3,HY_4
1,FM0973-KG,28.184,28.245,FM0973,FM,973,14,227,0,4,4,60,40,4,60,2019,29232,29232,5.0,1466,12,0.061,0.244,1783.152,89.426,16700,10647,13573,13765
1,FM0973-KG,6.809,6.895,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,7655,7655,7.7,590,12,0.086,0.172,658.33,50.74,6794,6329,6173,5100
1,FM0969-KG,9.566,9.609,FM0969,FM,969,14,227,0,4,5,60,0,2,26,2019,7641,7641,7.3,554,13,0.043,0.086,328.56300000000005,23.822,7570,6479,7902,7828
1,FM0973-KG,11.834000000000001,12.265999999999998,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,17287,17287,5.2,894,12,0.43200000000000005,0.8640000000000001,7467.984,386.208,15148,11839,11726,9561
1,FM0969-KG,12.231,12.238,FM0969,FM,969,14,227,0,1,5,60,3,2,22,2019,4560,4560,8.7,397,11,0.006999999999999999,0.013999999999999999,31.92,2.779,3981,2910,3896,3272
1,FM0973-KG,32.214,32.244,FM0973,FM,973,14,227,0,4,4,55,5,2,24,2019,9860,9860,7.4,726,12,0.03,0.06,295.8,21.78,8093,6468,5154,3508
1,FM0969-KG,4.3,4.338,FM0969,FM,969,14,227,2100,4,3,45,4,4,56,2019,27383,27383,4.8,1319,14,0.038,0.152,1040.5539999999999,50.122,20957,19365,21481,24461
1,FM0973-KG,28.414,28.43,FM0973,FM,973,14,227,0,4,4,60,40,4,70,2019,29232,29232,5.0,1466,12,0.016,0.064,467.712,23.456,16700,10647,13573,13765
1,FM0969-KG,2.3369999999999997,2.362,FM0969,FM,969,14,227,2100,4,3,45,0,4,70,2019,36786,36786,1.3,488,13,0.025,0.1,919.65,12.2,32176,25801,33430,35514
1,FM0973-KG,23.213,23.241999999999997,FM0973,FM,973,14,227,0,4,4,60,10,2,24,2019,11783,11783,6.2,736,12,0.028999999999999998,0.057999999999999996,341.707,21.344,10385,8867,7495,7819
1,FM0973-KG,9.165,9.176,FM0973,FM,973,14,227,0,1,4,60,10,2,24,2019,8043,8043,7.5,601,12,0.011000000000000001,0.022000000000000002,88.473,6.611000000000001,7068,6532,6439,5353
1,FM0969-KG,9.609,9.853,FM0969,FM,969,14,227,0,4,5,60,3,2,22,2019,7641,7641,7.3,554,13,0.244,0.488,1864.404,135.17600000000002,7570,6479,7902,7828
1,FM0973-KG,35.203,36.403,FM0973,FM,973,14,227,0,4,4,55,5,2,24,2019,4968,4968,10.0,496,12,1.2,2.4,5961.6,595.2,4187,2508,2897,1836
1,FM0969-KG,4.629,4.694,FM0969,FM,969,14,227,0,4,3,45,0,4,46,2019,27383,27383,4.8,1319,11,0.065,0.26,1779.895,85.735,20957,19365,21481,24461
1,FM0973-KG,28.745,28.793000000000003,FM0973,FM,973,14,227,0,4,4,60,40,4,90,2019,29232,29232,5.0,1466,12,0.048,0.192,1403.136,70.368,16700,10647,13573,13765
1,FM0969-KG,3.412,3.9610000000000003,FM0969,FM,969,14,227,2100,4,3,45,0,4,70,2019,36786,36786,1.3,488,13,0.5489999999999999,2.1959999999999997,20195.514,267.91200000000003,32176,25801,33430,35514
1,FM0973-KG,28.914,28.915,FM0973,FM,973,14,227,2100,4,4,60,20,4,90,2019,29232,29232,5.0,1466,12,0.001,0.004,29.232,1.466,16700,10647,13573,13765
1,FM0969-KG,0.6659999999999999,0.675,FM0969,FM,969,14,227,2100,4,3,45,0,4,44,2019,19202,19202,5.6,1083,11,0.009000000000000001,0.036000000000000004,172.81799999999998,9.747,16460,14992,17938,18390
1,FM0973-KG,20.963,20.974,FM0973,FM,973,14,227,0,4,4,60,6,2,14,2019,10893,10893,7.1,777,12,0.011000000000000001,0.022000000000000002,119.823,8.547,10893,9800,9447,9997
1,FM0973-KG,18.192,18.497,FM0973,FM,973,14,227,26450,4,4,60,6,2,18,2019,10893,10893,7.1,777,12,0.305,0.61,3322.365,236.985,10893,9800,9447,9997
1,FM0969-KG,13.747,14.503,FM0969,FM,969,14,227,44610,1,5,60,3,2,22,2019,4613,4613,8.7,402,11,0.7559999999999999,1.5119999999999998,3487.428,303.91200000000003,3927,2801,3743,3278
1,FM0969-KG,6.41,6.496,FM0969,FM,969,14,227,0,4,3,60,0,2,36,2019,24665,24665,5.0,1242,13,0.086,0.172,2121.19,106.81200000000001,22309,18885,20287,19486
1,FM0973-KG,28.793000000000003,28.807,FM0973,FM,973,14,227,2100,4,4,60,40,4,90,2019,29232,29232,5.0,1466,12,0.013999999999999999,0.055999999999999994,409.24800000000005,20.524,16700,10647,13573,13765
1,FM0969-KG,0.765,0.852,FM0969,FM,969,14,227,2100,4,3,45,0,4,44,2019,19202,19202,5.6,1083,11,0.087,0.348,1670.5739999999998,94.221,16460,14992,17938,18390
1,FM0973-KG,20.869,20.963,FM0973,FM,973,14,227,0,4,4,60,6,2,14,2019,10893,10893,7.1,777,12,0.094,0.188,1023.942,73.038,10893,9800,9447,9997
1,FM0973-KG,32.273,33.347,FM0973,FM,973,14,227,0,4,4,55,6,2,22,2019,9860,9860,7.4,726,12,1.074,2.148,10589.64,779.7239999999999,8093,6468,5154,3508
1,FM0973-KG,22.676,23.055,FM0973,FM,973,14,227,0,4,4,60,6,2,18,2019,11783,11783,6.2,736,12,0.379,0.758,4465.7570000000005,278.944,10385,8867,7495,7819
1,FM0973-KG,30.653000000000002,30.956999999999997,FM0973,FM,973,14,227,2100,4,4,55,4,2,26,2019,23463,23463,5.3,1245,12,0.304,0.608,7132.7519999999995,378.48,18337,14842,9921,7724
1,FM0969-KG,16.702,16.712,FM0969,FM,969,14,227,44610,1,5,60,3,2,20,2019,5048,5048,8.8,446,10,0.01,0.02,50.48,4.46,4258,3360,3997,2963
