ID,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,Corridor_ID,Shape_Length
102,IH0610-KG,17.84,17.840999999999998,IH0610,IH,610,12,102,19750,4,1,60,44,8,96,2019,181993,181993,9.3,16887,12,0.001,0.008,181.993,16.887,6,13,0.000901
103,IH0045-KG,51.6,51.725,IH0045,IH,45,12,102,19750,4,1,60,26,10,120,2019,250224,250224,6.3,15864,12,0.125,1.25,31278.0,1983.0,7,1,0.12567
104,IH0045-KG,51.725,52.051,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,250224,250224,6.3,15864,12,0.326,2.608,81573.024,5171.664000000001,7,2,0.32666999999999996
105,IH0045-KG,52.051,54.018,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,250224,250224,6.3,15864,12,1.9669999999999999,15.735999999999999,492190.60799999995,31204.487999999998,7,3,1.9705990000000002
106,IH0045-KG,54.018,54.833,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,224635,224635,6.7,14998,12,0.815,6.52,183077.525,12223.37,7,4,0.8163020000000001
107,IH0045-KG,54.833,55.13399999999999,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,224635,224635,6.7,14998,12,0.301,2.408,67615.135,4514.398,7,5,0.301628
108,IH0045-KG,55.13399999999999,55.451,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,242640,242640,6.4,15607,12,0.317,2.536,76916.88,4947.419,7,6,0.317302
109,IH0045-KG,55.451,55.463,IH0045,IH,45,12,102,19750,4,1,60,28,8,120,2019,242640,242640,6.4,15607,12,0.012,0.096,2911.68,187.28400000000002,7,7,0.012013
110,IH0045-KG,55.463,56.516000000000005,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,242640,242640,6.4,15607,15,1.053,8.424,255499.92,16434.171000000002,7,8,1.054577
111,IH0045-KG,56.516000000000005,56.516999999999996,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,256245,256245,6.3,16064,15,0.001,0.008,256.245,16.064,7,9,0.000993
112,IH0045-KG,56.516999999999996,57.925,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,256245,256245,6.3,16064,15,1.4080000000000001,11.264000000000001,360792.96,22618.112,7,10,1.410717
113,IH0045-KG,57.925,57.946999999999996,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,257348,257348,6.3,16104,15,0.022000000000000002,0.17600000000000002,5661.656,354.288,7,11,0.022031
114,IH0045-KG,57.946999999999996,59.781000000000006,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,257348,257348,6.3,16104,15,1.834,14.672,471976.232,29534.736,7,12,1.8372419999999998
115,IH0045-KG,59.781000000000006,60.857,IH0045,IH,45,12,102,19750,4,1,60,40,8,96,2019,257348,257348,6.3,16104,12,1.0759999999999998,8.607999999999999,276906.44800000003,17327.904,7,13,1.077969
116,IH0045-KG,60.857,60.858000000000004,IH0045,IH,45,12,102,19750,4,1,60,40,8,96,2019,278232,278232,6.7,18671,12,0.001,0.008,278.232,18.671,7,14,0.000999
117,IH0045-KG,60.858000000000004,60.96,IH0045,IH,45,12,102,19750,4,1,60,40,8,96,2019,278232,278232,6.7,18671,12,0.102,0.816,28379.664,1904.442,7,15,0.102211
