REC,RIA_RTE_ID,FRM_DFO,TO_DFO,HWY,HSYS,HNUM,DI,CO,CITY,RU,F_SYSTEM,SPD_MAX,HP_MED_W,NUM_LANES,SUR_W,ADT_YEAR,ADT_CUR,ADT_ADJ,TRK_AADT_PCT,AADT_TRUCKS,LANE_WIDTH,LEN_SEC,LN_MILES,DVMT,DTRKVMT,top10,ID,Corridor_ID,Shape_Length
1,IH0010-KG,754.296,755.187,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,313693,313693,7.4,23271,12,0.891,5.346,279500.463,20734.461,5,88,5,0.89222
1,IH0010-KG,755.187,755.189,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,312068,312068,6,18685,12,0.002,0.012,624.136,37.37,5,89,6,0.002011
1,IH0610-KG,11.62,11.621,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,195292,195292,5.7,11212,12,0.001,0.008,195.292,11.212,6,90,1,0.001001
1,IH0610-KG,11.621,11.829,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,195292,195292,5.7,11212,12,0.208,1.664,40620.736,2332.096,6,91,2,0.208375
1,IH0610-KG,11.829,11.867,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,195292,195292,5.7,11212,12,0.038,0.304,7421.096,426.056,6,92,3,0.038105
1,IH0610-KG,11.867,12.227,IH0610,IH,610,12,102,19750,4,1,55,32,8,98,2019,195292,195292,5.7,11212,12,0.36,2.88,70305.12,4036.32,6,93,4,0.360574
1,IH0610-KG,12.227,12.945,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,195292,195292,5.7,11212,12,0.718,8.616,140219.656,8050.216,6,94,5,0.719191
1,IH0610-KG,12.945,12.951,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,195292,195292,5.7,11212,12,0.006,0.072,1171.752,67.272,6,95,6,0.006012
1,IH0610-KG,12.951,13.276,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,195292,195292,5.7,11212,12,0.325,3.9,63469.9,3643.9,6,96,7,0.325551
1,IH0610-KG,13.276,13.654,IH0610,IH,610,12,102,19750,4,1,60,22,12,144,2019,180951,180951,9.3,16839,12,0.378,4.536,68399.478,6365.142,6,97,8,0.3787
1,IH0610-KG,13.654,15.706,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,180951,180951,9.3,16839,12,2.052,16.416,371311.452,34553.628,6,98,9,2.055474
1,IH0610-KG,15.706,17.694,IH0610,IH,610,12,102,19750,4,1,60,26,8,96,2019,198443,198443,8.9,17624,12,1.988,15.904,394504.684,35036.512,6,99,10,1.991442
1,IH0610-KG,17.694,17.785,IH0610,IH,610,12,102,19750,4,1,60,44,8,96,2019,198443,198443,8.9,17624,12,0.091,0.728,18058.313,1603.784,6,100,11,0.09115
1,IH0610-KG,17.785,17.84,IH0610,IH,610,12,102,19750,4,1,60,44,8,96,2019,198443,198443,8.9,17624,12,0.055,0.44,10914.365,969.32,6,101,12,0.05507
1,IH0610-KG,17.84,17.841,IH0610,IH,610,12,102,19750,4,1,60,44,8,96,2019,181993,181993,9.3,16887,12,0.001,0.008,181.993,16.887,6,102,13,0.000901
1,IH0045-KG,51.6,51.725,IH0045,IH,45,12,102,19750,4,1,60,26,10,120,2019,250224,250224,6.3,15864,12,0.125,1.25,31278,1983,7,103,1,0.12567
1,IH0045-KG,51.725,52.051,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,250224,250224,6.3,15864,12,0.326,2.608,81573.024,5171.664,7,104,2,0.32667
1,IH0045-KG,52.051,54.018,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,250224,250224,6.3,15864,12,1.967,15.736,492190.608,31204.488,7,105,3,1.970599
1,IH0045-KG,54.018,54.833,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,224635,224635,6.7,14998,12,0.815,6.52,183077.525,12223.37,7,106,4,0.816302
1,IH0045-KG,54.833,55.134,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,224635,224635,6.7,14998,12,0.301,2.408,67615.135,4514.398,7,107,5,0.301628
1,IH0045-KG,55.134,55.451,IH0045,IH,45,12,102,19750,4,1,60,26,8,96,2019,242640,242640,6.4,15607,12,0.317,2.536,76916.88,4947.419,7,108,6,0.317302
1,IH0045-KG,55.451,55.463,IH0045,IH,45,12,102,19750,4,1,60,28,8,120,2019,242640,242640,6.4,15607,12,0.012,0.096,2911.68,187.284,7,109,7,0.012013
1,IH0045-KG,55.463,56.516,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,242640,242640,6.4,15607,15,1.053,8.424,255499.92,16434.171,7,110,8,1.054577
1,IH0045-KG,56.516,56.517,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,256245,256245,6.3,16064,15,0.001,0.008,256.245,16.064,7,111,9,0.000993
1,IH0045-KG,56.517,57.925,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,256245,256245,6.3,16064,15,1.408,11.264,360792.96,22618.112,7,112,10,1.410717
1,IH0045-KG,57.925,57.947,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,257348,257348,6.3,16104,15,0.022,0.176,5661.656,354.288,7,113,11,0.022031
1,IH0045-KG,57.947,59.781,IH0045,IH,45,12,102,19750,4,1,60,28,8,172,2019,257348,257348,6.3,16104,15,1.834,14.672,471976.232,29534.736,7,114,12,1.837242
1,IH0045-KG,59.781,60.857,IH0045,IH,45,12,102,19750,4,1,60,40,8,96,2019,257348,257348,6.3,16104,12,1.076,8.608,276906.448,17327.904,7,115,13,1.077969
1,IH0045-KG,60.857,60.858,IH0045,IH,45,12,102,19750,4,1,60,40,8,96,2019,278232,278232,6.7,18671,12,0.001,0.008,278.232,18.671,7,116,14,0.000999
1,IH0045-KG,60.858,60.96,IH0045,IH,45,12,102,19750,4,1,60,40,8,96,2019,278232,278232,6.7,18671,12,0.102,0.816,28379.664,1904.442,7,117,15,0.102211
1,IH0010-KG,767.458,767.544,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,125804,125804,8.2,10339,12,0.086,0.688,10819.144,889.154,8,118,1,0.086092
1,IH0010-KG,767.544,767.925,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,168987,168987,10.5,17764,12,0.381,3.048,64384.047,6768.084,8,119,2,0.381526
1,IH0010-KG,767.925,768.017,IH0010,IH,10,12,102,19750,4,1,55,20,6,92,2019,168987,168987,10.5,17764,11,0.092,0.552,15546.804,1634.288,8,120,3,0.092207
1,IH0010-KG,768.017,768.228,IH0010,IH,10,12,102,19750,4,1,55,20,6,86,2019,168987,168987,10.5,17764,12,0.211,1.266,35656.257,3748.204,8,121,4,0.211249
1,IH0010-KG,768.228,768.324,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,168987,168987,10.5,17764,12,0.096,0.768,16222.752,1705.344,8,122,5,0.095994
1,IH0010-KG,768.324,769.028,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,168987,168987,10.5,17764,12,0.704,5.632,118966.848,12505.856,8,123,6,0.70592
1,IH0010-KG,769.028,769.03,IH0010,IH,10,12,102,19750,4,1,55,40,8,96,2019,184317,184317,10.1,18578,12,0.002,0.016,368.634,37.156,8,124,7,0.002014
1,IH0010-KG,755.189,757.346,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,312068,312068,6,18685,12,2.157,12.942,673130.676,40303.545,9,125,1,2.161539
1,IH0010-KG,757.346,757.765,IH0010,IH,10,12,102,19750,4,1,60,20,6,86,2019,312068,312068,6,18685,12,0.419,2.514,130756.492,7829.015,9,126,2,0.419558
1,IH0010-KG,757.765,758.108,IH0010,IH,10,12,102,40500,4,1,60,20,6,86,2019,312068,312068,6,18685,12,0.343,2.058,107039.324,6408.955,9,127,3,0.343635
1,IH0010-KG,758.108,758.944,IH0010,IH,10,12,102,40500,4,1,60,20,6,86,2019,312068,312068,6,18685,12,0.836,5.016,260888.848,15620.66,9,128,4,0.837242
1,IH0010-KG,758.944,759.056,IH0010,IH,10,12,102,40500,4,1,60,50,12,144,2019,312068,312068,6,18685,12,0.112,1.344,34951.616,2092.72,9,129,5,0.111955
1,IH0010-KG,759.056,759.487,IH0010,IH,10,12,102,40500,4,1,60,50,12,144,2019,320892,320892,5.9,18946,12,0.431,5.172,138304.452,8165.726,9,130,6,0.431723
1,IH0010-KG,759.487,759.593,IH0010,IH,10,12,102,40500,4,1,60,20,8,123,2019,320892,320892,5.9,18946,11,0.106,0.848,34014.552,2008.276,9,131,7,0.106246
1,IH0010-KG,759.593,759.788,IH0010,IH,10,12,102,40500,4,1,55,20,8,123,2019,320892,320892,5.9,18946,11,0.195,1.56,62573.94,3694.47,9,132,8,0.195901
1,IH0010-KG,759.788,760.097,IH0010,IH,10,12,102,19750,4,1,55,20,8,123,2019,320892,320892,5.9,18946,11,0.309,2.472,99155.628,5854.314,9,133,9,0.30921
1,IH0010-KG,760.097,760.185,IH0010,IH,10,12,102,19750,4,1,55,20,8,123,2019,320892,320892,5.9,18946,11,0.088,0.704,28238.496,1667.248,9,134,10,0.08805
1,IH0010-KG,760.185,760.601,IH0010,IH,10,12,102,19750,4,1,55,4,10,156,2019,320892,320892,5.9,18946,12,0.416,4.16,133491.072,7881.536,9,135,11,0.416431
1,IH0010-KG,760.601,760.786,IH0010,IH,10,12,102,19750,4,1,55,20,10,154,2019,320892,320892,5.9,18946,12,0.185,1.85,59365.02,3505.01,9,136,12,0.185412
1,IH0010-KG,760.786,760.828,IH0010,IH,10,12,102,19750,4,1,55,20,10,154,2019,320892,320892,5.9,18946,12,0.042,0.42,13477.464,795.732,9,137,13,0.042065
1,IH0010-KG,760.828,761.17,IH0010,IH,10,12,102,19750,4,1,55,40,10,124,2019,320892,320892,5.9,18946,12,0.342,3.42,109745.064,6479.532,9,138,14,0.342416
1,IH0010-KG,761.17,761.656,IH0010,IH,10,12,102,19750,4,1,55,40,10,120,2019,320892,320892,5.9,18946,12,0.486,4.86,155953.512,9207.756,9,139,15,0.487181
1,IH0010-KG,761.656,761.804,IH0010,IH,10,12,102,19750,4,1,55,40,10,120,2019,320892,320892,5.9,18946,12,0.148,1.48,47492.016,2804.008,9,140,16,0.148608
1,IH0010-KG,761.804,761.806,IH0010,IH,10,12,102,19750,4,1,55,40,10,120,2019,273454,273454,6.4,17544,12,0.002,0.02,546.908,35.088,9,141,17,0.002009
