Crash_ID,Cnty_ID,City_ID,Latitude,Longitude,Hwy_Sys,Hwy_Nbr,Dfo,Street_Name,Onsys_Fl,Rural_Fl,Shldr_Width_Left,Shldr_Width_Right,Median_Width,Nbr_Of_Lane,Func_Sys_ID,Curve_Type_ID
15354531,101,208,29.73841163,-95.35184022,IH,45,45.315,IH0045,Y,N,0,24,6,6,11,0
15354567,101,208,29.73168873,-95.34213537,IH,45,44.571000000000005,IH0045,Y,N,0,24,20,8,11,1
15355160,101,208,29.70869166,-95.30568539,IH,45,41.87,IH0045,Y,N,0,24,20,8,11,0
15355341,101,208,29.70202822,-95.29552923,IH,45,41.107,IH0045,Y,N,0,24,20,8,11,0
15355706,101,208,29.71427505,-95.31403268,IH,45,42.501000000000005,IH0045,Y,N,0,24,20,8,11,1
15356156,101,208,29.76326879,-95.37041717,IH,45,47.853,IH0045,Y,N,0,20,3,10,11,1
15356211,101,208,29.74247113,-95.35820486,IH,45,45.788000000000004,IH0045,Y,N,0,24,6,6,11,0
15356302,101,208,29.7151266,-95.31536449,IH,45,42.6,IH0045,Y,N,0,24,20,8,11,0
15356716,101,208,29.70038957,-95.29296144,IH,45,40.917,IH0045,Y,N,0,24,20,8,11,0
15356853,101,208,29.73550909,-95.34726842,IH,45,44.976000000000006,IH0045,Y,N,0,24,6,6,11,1
15357843,101,208,29.70137128,-95.2944998,IH,45,41.031000000000006,IH0045,Y,N,0,24,20,8,11,0
15357854,101,208,29.71726498,-95.31872914,IH,45,42.85,IH0045,Y,N,0,24,20,6,11,0
15357900,101,208,29.769765600000003,-95.36542916,IH,45,48.418,IH0045,Y,N,0,20,26,8,11,0
15360064,101,208,29.70043022,-95.29302513,IH,45,40.921,IH0045,Y,N,0,24,20,8,11,0
15360186,101,208,29.733994300000003,-95.34505490000001,IH,45,44.806999999999995,IH0045,Y,N,0,24,6,6,11,0
15360241,101,208,29.74220955,-95.35777913,IH,45,45.757,IH0045,Y,N,0,24,6,6,11,1
15362131,101,208,29.6974043,-95.288995,IH,45,40.602,IH0045,Y,N,24,20,22,8,11,0
15362345,101,208,29.71513748,-95.31538391,IH,45,42.601000000000006,IH0045,Y,N,0,24,20,8,11,0
15362468,101,208,29.71982515,-95.32353165,IH,45,43.187,IH0045,Y,N,0,24,20,8,11,0
15362470,101,208,29.71984473,-95.32356943,IH,45,43.19,IH0045,Y,N,0,24,20,8,11,0
15362474,101,208,29.72640391,-95.33427157,IH,45,43.975,IH0045,Y,N,0,24,20,8,11,0
